Roblox;2006;EUA;Sandbox/Plataforma;Variado;Multiplayer;PC/Console/Mobile;
NieR: Automata;2017;Japão;Action/RPG;Ficção científica;Singleplayer;PC/Console;
Persona 4 Golden;2012;Japão;RPG;Vida urbana/Fantasia;Singleplayer;PC/Console;
Final Fantasy VI;1994;Japão;RPG;Fantasia;Singleplayer;Console/PC;
Super Mario Galaxy;2007;Japão;Plataforma;Fantasia;Singleplayer;Console;
Metroid Prime;2002;Japão;Action/adventure;Ficção científica;Singleplayer;Console;
Silent Hill 2;2001;Japão;Survival Horror;Horror psicológico;Singleplayer;Console/PC;
BioShock Infinite;2013;EUA;FPS;Distopia;Singleplayer;PC/Console;
Fallout 3;2008;EUA;RPG;Pós-apocalíptico;Singleplayer;PC/Console;
The Elder Scrolls IV: Oblivion;2006;EUA;RPG;Fantasia;Singleplayer;PC/Console;
Grand Theft Auto: San Andreas;2004;EUA;Action/adventure;Crime;Singleplayer;PC/Console;
Metal Gear Solid 3: Snake Eater;2004;Japão;Stealth/Action;Guerra;Singleplayer;Console;
Shadow of the Colossus;2005;Japão;Action/adventure;Fantasia;Singleplayer;Console;
ICO;2001;Japão;Adventure;Fantasia;Singleplayer;Console;
Journey;2012;EUA;Adventure;Exploração;Singleplayer/Multiplayer;Console/PC;
Inside;2016;Dinamarca;Plataforma/Puzzle;Distopia;Singleplayer;PC/Console;
Limbo;2010;Dinamarca;Plataforma/Puzzle;Horror;Singleplayer;PC/Console;
Ori and the Will of the Wisps;2020;EUA;Metroidvania;Fantasia;Singleplayer;PC/Console;
Cuphead;2017;Canadá;Run and Gun;Cartoon anos 30;Singleplayer/Multiplayer;PC/Console;
Slay the Spire;2019;EUA;Roguelike/Card game;Fantasia;Singleplayer;PC/Console;
Terraria;2011;EUA;Sandbox/Action/adventure;Exploração;Singleplayer/Multiplayer;PC/Console;
Valheim;2021;Suécia;Survival;Mitologia nórdica;Singleplayer/Multiplayer;PC;
Deep Rock Galactic;2020;Dinamarca;FPS/Co-op;Mineração/Ficção científica;Multiplayer;PC/Console;
It Takes Two;2021;Suécia;Co-op/Plataforma;Relacionamentos;Multiplayer;PC/Console;
A Way Out;2018;Suécia;Co-op/Action/adventure;Crime;Multiplayer;PC/Console;
Fire Emblem: Three Houses;2019;Japão;RPG/Estratégia;Fantasia;Singleplayer;Console;
Super Smash Bros. Ultimate;2018;Japão;Luta;Competição;Singleplayer/Multiplayer;Console;
Pokémon HeartGold & SoulSilver;2009;Japão;RPG;Fantasia;Singleplayer/Multiplayer;Console;
Returnal;2021;Finlândia;Roguelike/TPS;Ficção científica;Singleplayer;PC/Console;
Alan Wake 2;2023;Finlândia;Survival Horror;Horror psicológico;Singleplayer;PC/Console;
What Remains of Edith Finch;2017;EUA;Adventure;Drama familiar;Singleplayer;PC/Console;
Return of the Obra Dinn;2018;EUA;Puzzle/Adventure;Mistério;Singleplayer;PC/Console;
Papers, Please;2013;EUA;Puzzle/Simulação;Distopia;Singleplayer;PC/Console;
Team Fortress 2;2007;EUA;FPS;Combate tático;Multiplayer;PC;
Left 4 Dead 2;2009;EUA;FPS;Zumbis;Singleplayer/Multiplayer;PC/Console;
Portal;2007;EUA;Puzzle/Plataforma;Ficção científica;Singleplayer;PC/Console;
Halo: Combat Evolved;2001;EUA;FPS;Ficção científica;Singleplayer/Multiplayer;PC/Console;
Gears of War;2006;EUA;TPS;Ficção científica;Singleplayer/Multiplayer;PC/Console;
Demon's Souls;2009;Japão;Action/RPG;Fantasia sombria;Singleplayer/Multiplayer;Console;
Dave the Diver;2023;Coreia do Sul;Adventure/Simulação;Exploração marítima;Singleplayer;PC/Console;
